0	15285
1	10563
2	7959
3	5976
4	4752
5	3919
6	3191
7	2804
8	2376
9	2153
10	1903
11	1772
12	1571
13	1448
14	1327
15	1236
16	1147
17	1099
18	1032
19	952
20	958
21	889
22	888
23	798
24	753
25	728
26	707
27	673
28	603
29	578
30	552
31	576
32	494
33	480
34	498
35	467
36	468
37	448
38	408
39	377
40	348
41	393
42	395
43	386
44	360
45	341
46	325
47	322
48	333
49	302
50	320
51	257
52	317
53	264
54	245
55	259
56	239
57	237
58	246
59	226
60	244
61	217
62	222
63	215
64	231
65	206
66	213
67	185
68	203
69	182
70	177
71	169
72	154
73	185
74	127
75	192
76	145
77	168
78	162
79	153
80	138
81	153
82	150
83	149
84	156
85	137
86	127
87	144
88	133
89	135
90	147
91	114
92	127
93	109
94	112
95	119
96	108
97	117
98	131
99	108
100	81
101	118
102	106
103	98
104	106
105	93
106	93
107	85
108	77
109	87
110	78
111	83
112	87
113	84
114	87
115	68
116	74
117	88
118	77
119	72
120	72
121	77
122	87
123	75
124	74
125	69
126	69
127	60
128	66
129	62
130	67
131	65
132	54
133	57
134	64
135	46
136	54
137	59
138	78
139	47
140	44
141	57
142	50
143	55
144	43
145	47
146	43
147	36
148	41
149	36
150	39
151	52
152	31
153	38
154	29
155	39
156	34
157	38
158	35
159	26
160	44
161	34
162	36
163	42
164	37
165	30
166	22
167	29
168	28
169	26
170	35
171	21
172	18
173	17
174	22
175	25
176	24
177	21
178	29
179	31
180	34
181	15
182	19
183	18
184	18
185	16
186	20
187	18
188	19
189	20
190	14
191	13
192	13
193	13
194	15
195	16
196	8
197	15
198	10
199	17
200	10
201	13
202	11
203	8
204	9
205	13
206	10
207	8
208	10
209	7
210	11
211	9
212	2
213	12
214	4
215	5
216	9
217	7
218	2
219	3
220	2
221	4
222	4
223	5
224	1
225	6
226	4
227	2
228	4
229	4
230	7
231	2
232	2
233	2
234	1
235	1
236	3
237	1
238	4
239	1
240	4
241	4
242	1
243	1
244	1
245	0
246	0
247	2
248	2
249	0
250	0
251	2
252	0
253	0
254	0
255	2
256	1
257	0
258	1
259	0
260	0
261	0
262	0
263	2
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	1
277	0
278	0
279	0
280	1
