0	190	87
1	244	137
2	228	132
3	234	93
4	244	134
5	185	115
6	183	121
7	222	92
8	224	94
9	219	120
10	206	128
11	167	86
12	210	71
13	195	134
14	269	95
15	203	104
16	225	140
17	213	141
18	239	115
19	288	95
20	215	133
21	187	119
22	194	115
23	239	133
24	231	134
25	244	100
26	227	113
27	201	122
28	246	129
29	195	126
30	264	158
31	240	132
32	248	88
33	255	122
34	222	84
35	208	99
36	203	93
37	213	133
38	236	135
39	182	116
40	200	126
41	202	119
42	233	137
43	216	117
44	202	99
45	242	129
46	254	122
47	254	138
48	223	101
49	184	111
50	182	103
51	219	102
52	208	103
53	209	138
54	241	107
55	173	92
56	194	126
57	208	132
58	277	71
59	308	137
60	199	118
61	216	132
62	196	113
63	206	121
64	226	117
65	232	136
66	227	148
67	177	83
68	216	83
69	173	111
70	248	141
71	230	145
72	190	122
73	179	90
74	220	133
75	205	113
76	196	69
77	230	129
78	224	130
79	233	156
80	199	122
81	211	118
82	222	156
83	197	140
84	254	156
85	218	148
86	243	117
87	206	101
88	201	123
89	211	83
90	184	122
91	240	130
92	276	92
93	159	96
94	217	101
95	193	103
96	229	72
97	232	124
98	223	112
99	217	126
100	185	121
101	242	79
102	269	110
103	239	131
104	222	133
105	220	159
106	202	84
107	226	136
108	233	131
109	199	131
110	213	122
111	235	114
112	190	111
113	205	139
114	190	126
115	213	125
116	211	121
117	192	138
118	177	100
119	213	122
120	239	156
121	241	142
122	200	131
123	267	144
124	222	120
125	242	92
126	207	127
127	228	134
128	171	113
129	227	142
130	261	74
131	207	134
132	216	122
133	205	129
134	209	113
135	238	137
136	188	117
137	276	113
138	204	126
139	222	107
140	232	135
141	202	131
142	267	164
143	236	138
144	257	112
145	197	125
146	250	158
147	194	81
148	215	111
149	285	119
150	240	137
151	248	88
152	223	81
153	176	92
154	255	121
155	194	91
156	213	142
157	236	128
158	192	79
159	201	108
160	208	154
161	254	163
162	236	127
163	201	84
164	211	140
165	234	82
166	183	108
167	228	136
168	205	133
169	275	86
170	222	132
171	167	97
172	275	130
173	277	108
174	289	146
175	240	108
176	225	148
177	249	150
178	231	125
179	189	68
180	216	52
181	234	103
182	163	117
183	258	101
184	224	130
185	196	127
186	208	120
187	202	118
188	211	125
189	227	122
190	310	132
191	227	144
192	215	133
193	189	126
194	180	94
195	183	101
196	183	102
197	162	96
198	194	130
199	204	88
200	218	129
201	232	114
202	245	126
203	246	122
204	196	105
205	189	125
206	208	91
207	203	107
208	222	102
209	278	112
210	246	140
211	197	95
212	222	132
213	213	100
214	205	128
215	212	112
216	218	106
217	160	73
218	183	103
219	234	127
220	213	142
221	195	68
222	227	131
223	258	146
224	192	122
225	175	98
226	209	140
227	273	125
228	219	108
229	210	89
230	222	67
231	169	100
232	248	142
233	244	93
234	275	167
235	206	106
236	238	118
237	210	123
238	201	138
239	222	126
240	256	154
241	223	132
242	220	127
243	231	84
244	236	60
245	223	84
246	200	118
247	265	102
248	258	146
249	258	109
250	229	78
251	240	120
252	250	134
253	270	129
254	272	87
255	298	101
256	197	131
257	189	99
258	247	108
259	245	113
260	261	118
261	209	116
262	210	136
263	254	98
264	193	117
265	247	121
266	207	138
267	262	46
268	175	107
269	236	96
270	225	80
271	214	116
272	228	119
273	227	137
274	174	75
275	221	147
276	243	130
277	216	107
278	189	73
279	206	122
280	159	108
281	216	119
282	244	125
283	212	150
284	289	101
285	232	115
286	200	125
287	225	121
288	257	93
289	216	147
290	175	117
291	305	119
292	229	125
293	196	137
294	237	114
295	268	116
296	223	91
297	193	111
298	184	122
299	192	113
300	186	121
301	230	117
302	208	90
303	227	102
304	201	134
305	193	133
306	175	101
307	182	98
308	204	109
309	243	138
310	230	137
311	215	144
312	216	113
313	214	87
314	228	147
315	220	45
316	229	123
317	227	129
318	198	98
319	232	113
320	189	109
321	232	61
322	205	145
323	207	75
324	204	102
325	225	103
326	200	113
327	216	74
328	232	160
329	167	103
330	270	113
331	253	94
332	214	126
333	199	114
334	253	164
335	266	95
336	236	154
337	212	136
338	183	90
339	192	87
340	233	129
341	205	105
342	197	121
343	184	115
344	199	114
345	220	131
346	185	97
347	191	88
348	171	103
349	167	113
350	211	120
351	208	89
352	276	75
353	199	116
354	198	132
355	191	121
356	231	113
357	228	128
358	232	144
359	183	123
360	253	138
361	205	85
362	216	96
363	191	118
364	227	83
365	234	106
366	214	91
367	229	134
368	207	132
369	215	138
370	241	142
371	178	113
372	193	132
373	249	147
374	188	108
375	201	123
376	279	116
377	288	124
378	234	134
379	240	126
